country,region,year,planeDeaths
Mongolia,Asia,1975,0
Morocco,Africa,1975,168
Mozambique,Africa,1975,0
Myanmar,Asia,1975,0
Nepal,Asia,1975,0
Netherlands,Europe,1975,0
New Zealand,Asia,1975,0
Nicaragua,Americas,1975,0
Niger,Africa,1975,0
Nigeria,Africa,1975,0
North Korea,Asia,1975,0
Norway,Europe,1975,0
Pakistan,Asia,1975,0
Panama,Americas,1975,0
Papua New Guinea,Asia,1975,0
Paraguay,Americas,1975,0
Peru,Americas,1975,0
Philippines,Asia,1975,0
Poland,Europe,1975,0
Portugal,Europe,1975,0
Romania,Europe,1975,0
Russia,Europe,1975,0
Saudi Arabia,Asia,1975,0
Senegal,Africa,1975,0
Sierra Leone,Africa,1975,0
Somalia,Africa,1975,0
South Africa,Africa,1975,0
South Korea,Asia,1975,0
Spain,Europe,1975,0
Sri Lanka,Asia,1975,0
Sudan,Africa,1975,0
Suriname,Americas,1975,0
Sweden,Europe,1975,0
Switzerland,Europe,1975,0
Tajikistan,Asia,1975,0
Tanzania,Africa,1975,0
Thailand,Asia,1975,0
Tunisia,Africa,1975,0
Turkey,Europe,1975,0
Ukraine,Europe,1975,0
United Arab Emirates,Asia,1975,0
United Kingdom,Europe,1975,0
United States,Americas,1975,112
Uruguay,Americas,1975,0
Uzbekistan,Asia,1975,0
Venezuela,Americas,1975,0
Vietnam,Asia,1975,172
Yemen,Asia,1975,0
Zambia,Africa,1975,0
Afghanistan,Asia,1976,0
Algeria,Africa,1976,0
Angola,Africa,1976,0
Argentina,Americas,1976,0
Armenia,Europe,1976,0
Australia,Asia,1976,0
Austria,Europe,1976,0
Azerbaijan,Europe,1976,0
Bahrain,Asia,1976,0
Belgium,Europe,1976,0
Benin,Africa,1976,0
Bolivia,Americas,1976,112
Bosnia and Herzegovina,Europe,1976,0
Brazil,Americas,1976,0
Bulgaria,Europe,1976,0
Cambodia,Asia,1976,0
Cameroon,Africa,1976,0
Canada,Americas,1976,0
Cape Verde,Africa,1976,0
Central African Republic,Africa,1976,0
Chile,Americas,1976,0
China,Asia,1976,0
Colombia,Americas,1976,0
Comoros,Africa,1976,0
"Congo, Dem. Rep.",Africa,1976,0
"Congo, Rep.",Africa,1976,0
Costa Rica,Americas,1976,0
Cote d'Ivoire,Africa,1976,0
Croatia,Europe,1976,0
Cuba,Americas,1976,0
Denmark,Europe,1976,0
Dominica,Americas,1976,0
Dominican Republic,Americas,1976,0
Ecuador,Americas,1976,0
Egypt,Africa,1976,0
El Salvador,Americas,1976,0
Equatorial Guinea,Africa,1976,0
